Date,Precipitation
10/01/2018,0.00
10/02/2018,0.33
10/03/2018,0.00
10/04/2018,0.04
10/05/2018,0.00
10/06/2018,0.00
10/07/2018,0.00
10/08/2018,0.00
10/09/2018,0.00
10/10/2018,0.00
10/11/2018,1.03
10/12/2018,0.77
10/13/2018,0.05
10/14/2018,0.00
10/15/2018,0.07
10/16/2018,0.01
10/17/2018,0.00
10/18/2018,0.00
10/19/2018,0.00
10/20/2018,0.08
10/21/2018,0.01
10/22/2018,0.00
10/23/2018,0.00
10/24/2018,0.00
10/25/2018,0.00
10/26/2018,0.03
10/27/2018,0.84
10/28/2018,0.05
10/29/2018,0.01
10/30/2018,0.00
10/31/2018,0.00
